CODIGO,NOMBRE
111001,ROLLO 113 MM X 60 MTS 175 MICRAS
111002,ROLLO 113 MM X 60 MTS 250 MICRAS
111003,ROLLO 226 MM X 60 MTS 125 MICRAS
111004,ROLLO 226 MM X 60 MTS 175 MICRAS
111005,ROLLO 226 MM X 60 MTS 250 MICRAS
111006,ROLLO 229 MM X 150 MTS 42 MICRAS
111007,ROLLO 300 MM X 60 MTS 125 MICRAS
111008,ROLLO 300 MM X 60 MTS 250 MICRAS
111009,ROLLO 300 MM X 150 MTS 42 MICRAS
111010,ROLLO 375 MM X 60 MTS 125 MICRAS
111011,ROLLO 375 MM X 60 MTS 125 MICRAS MATTE
111012,ROLLO 375 MM X 75 MTS 75 MICRAS BRILLANTE
111013,ROLLO 375 MM X 75 MTS 75 MICRAS MATTE
111014,ROLLO 450 MM X 75 MTS 75 MICRAS BRILLANTE
111015,ROLLO 450 MM X 75 MTS 75 MICRAS MATTE
111016,ROLLO 680 MM X 60 MTS 125 MICRAS BRILLANTE
111017,ROLLO 680 MM X 60 MTS 125 MICRAS MATTE
111018,ROLLO 350 MM X 60 MTS 250 MICRAS
111019,ROLLO 540 MM X 60 MTS 125 MICRAS
111020,ROLLO 540 MM X 60 MTS 175 MICRAS
112001,ROLLO BOPP BRILLANTE 250 MM X 4000 MT 18 MIC
112002,ROLLO BOPP BRILLANTE 300 MM X 4000 MT 18 MIC
112003,ROLLO BOPP BRILLANTE 330 MM X 200 MT 23 MIC
112004,ROLLO BOPP BRILLANTE 330 MM X 500 MT 22 MIC
112005,ROLLO SUPERBONDING BRILLANTE 330 MM X 500 MT 30 MIC
112006,ROLLO BOPP BRILLANTE 345 MM X 4000 MT 18 MIC
112007,ROLLO BOPP BRILLANTE 445 MM X 4000 MT 18 MIC
112008,ROLLO BOPP BRILLANTE 495 MM X 4000 MT 18 MIC
112009,ROLLO BOPP BRILLANTE 695 MM X 4000 MT 18 MIC
112010,ROLLO BOPP MATE 250 MM X 4000 MT 18 MIC
112011,ROLLO BOPP MATE 300 MM X 4000 MT 18 MIC
112012,ROLLO BOPP MATE 330 MM X 200 MT 23 MIC
112013,ROLLO BOPP MATE 330 MM X 500 MT 22 MIC
112014,ROLLO SUPERBONDING MATE 330 MM X 500 MT 30 MIC
112015,ROLLO BOPP MATE 345 MM X 4000 MT 18 MIC
112016,ROLLO BOPP MATE 445 MM X 4000 MT 18 MIC
112017,ROLLO BOPP MATE 495 MM X 4000 MT 18 MIC
112018,ROLLO BOPP MATE 595 MM X 4000 MT 18 MIC
112019,ROLLO BOPP MATE 695 MM X 3000 MT 18 MIC
112020,ROLLO HOLOGRAFICO 495 MM X 1500 MT 24 MIC
112021,ROLLO BOPP MATE 330 MM X 4000 MT 18 MIC
112022,ROLLO METALIZADO DORADO 495 MM X 1000 MT 22 MIC
112023,ROLLO METALIZADO PLATA 495 MM X 1000 MT 22 MIC
112024,ROLLO BOPP MATE 200 MM X 4000 MT 18 MIC
112025,ROLLO BOPP MATE 400 MM X 4000 MT 18 MIC
112026,ROLLO BOPP BRILLANTE 400 MM X 4000 MT 18 MIC
112027,ROLLO PIEL DURAZNO 495 MM X 200 MT 28 MIC
112028,ROLLO BOPP BRILLANTE 595 MM X 4000 MT 18 MIC
112029,ROLLO BOPP BRILLANTE 495 MM X 2000 MT 18 MIC
112030,ROLLO BOPP MATE 495 MM X 2000 MT 18 MIC
112031,FOIL S1 (101) 640 MM X 120 MT 12 MIC DORADO
112032,FOIL S1 (120) 640 MM X 120 MT 12 MIC PLATA
112033,FOIL S2 (101) 640 MM X 120 MT 12 MIC DORADO
112034,FOIL S2 (120) 640 MM X 120 MT 12 MIC PLATA
112035,FOIL S4 (SA18) 640 MM X 120 MT 12 MIC DORADO HOLOGRAFICO
112036,FOIL S4 (S15) 640 MM X 120 MT 12 MIC PLATA HOLOGRAFICO
112037,FOIL S2 (A152-1) 640 MM X 120 MT 12 MIC ROSA
112038,FOIL S4 (SA12) 640 MM X 120 MT 12 MIC DORADO HOLOGRAFICO
113001,BOLSILLO CARNET 60 X 90 MM 175 MIC CAJA X 100
113002,BOLSILLO CEDULA 70 X 100 MM 175 MIC CAJA X 100
113003,BOLSILLO TARJETA PROPIEDAD 80 X 110 MM 175 MIC CAJA X 100
113004,BOLSILLO CARTA 225MM X 288MM 75 MIC CAJA X 100
113005,BOLSILLO CARTA 225MM X 288MM 125 MIC CAJA X 100
113006,BOLSILLO CARTA 225MM X 288MM 175 MIC CAJA X 100
113007,BOLSILLO CARTA 225MM X 288MM 250 MIC CAJA X 50
113008,BOLSILLO OFICIO 225MM X 337MM 125 MIC CAJA X 100
113009,BOLSILLO PIP 54MM X 86MM 250 MICRAS CAJA X 50
113010,BOLSILLO TARJETA PROPIEDAD 80 X 110 MM 250 MIC CAJA X 100
113011,BOLSILLO OFICIO 225MM X 337MM 175 MIC CAJA X 100
121001,CARATULA CARTA BURBUJAS PAQ X 50 ROJO
121002,CARATULA CARTA CUADROS PAQ X 50 HUMO
121003,CARATULA CARTA CUADROS PAQ X 50 VERDE
121004,CARATULA CARTA DIAMANTE PAQ X 50 AZUL T2
121005,CARATULA CARTA DIAMANTE PAQ X 50 HUMO
121006,CARATULA CARTA DIAMANTE PAQ X 50 ROJO
121007,CARATULA CARTA DIAMANTE PAQ X 50 TRANSPARENTE
121008,CARATULA CARTA DIAMANTE PAQ X 50 VERDE T2
121009,CARATULA CARTA GRAIN PAQ X 50 AZUL
121010,CARATULA CARTA GRAIN PAQ X 50 NEGRO
121011,CARATULA CARTA LINO PAQ X 50 AZUL T2
121012,CARATULA CARTA LINO PAQ X 50 HUMO
121013,CARATULA CARTA LINO PAQ X 50 LILA
121014,CARATULA CARTA LINO PAQ X 50 ROJO
121015,CARATULA CARTA LINO PAQ X 50 VERDE T1
121016,CARATULA CARTA LINO PAQ X 50 VERDE T2
121017,CARATULA CARTA STRIPE PAQ X 50 AZUL T-1
121018,CARATULA CARTA STRIPE PAQ X 50 AZUL T-2
121019,CARATULA CARTA STRIPE PAQ X 50 HUMO
121020,CARATULA CARTA STRIPE PAQ X 50 LILA
121021,CARATULA CARTA STRIPE PAQ X 50 NARANJA
121022,CARATULA CARTA STRIPE PAQ X 50 ROJO
121023,CARATULA CARTA STRIPE PAQ X 50 TRANSPARENTE
121024,CARATULA CARTA STRIPE PAQ X 50 VERDE T-1
121025,CARATULA CARTA STRIPE PAQ X 50 VERDE T-2
121026,CARATULA OFICIO GRAIN AZUL PAQ X 50
121027,CARATULA OFICIO GRAIN NEGRO PAQ X 50
121028,CARATULA OFICIO STRIPE PAQ X 50 AZUL T-2
121029,CARATULA OFICIO STRIPE PAQ X 50 HUMO
121030,CARATULA OFICIO STRIPE PAQ X 50 TRANSPARENTE
121031,CARATULA OFICIO STRIPE PAQ X 50 VERDE T-2
121032,CARATULA LEGAL STRIPE PAQ X 50 TRANSPARENTE
121033,CARATULA CARTA GRAIN PAQ X 50 VERDE T2
121034,CARATULA CARTA STRIPE PAQ X 50 AMARILLO
122001,CARRETE  2.1    8 MM X 38000 LOOPS BLANCO
122002,CARRETE  2.1    8 MM X 38000 LOOPS NEGRO
122003,CARRETE  2.1    9 MM X 28000 LOOPS BLANCO
122004,CARRETE  2.1    9 MM X 28000 LOOPS NEGRO
122005,CARRETE  2.1   12 MM X 15600 LOOPS BLANCO
122006,CARRETE  2.1   12 MM X 15600 LOOPS NEGRO
122007,CARRETE  2.1   14 MM X 13000 LOOPS BLANCO
122008,CARRETE  2.1   14 MM X 13000 LOOPS NEGRO
122009,CARRETE  2.1   16 MM X 10500 LOOPS BLANCO
122010,CARRETE  2.1   16 MM X 10500 LOOPS NEGRO
122011,CARRETE  2.1   16 MM X 10500 LOOPS PLATA
122012,CARRETE  2.1   16 MM X 10500 LOOPS BRONCE
122013,CARRETE  2.1   19 MM X 7000 LOOPS BLANCO
122014,CARRETE  2.1   19 MM X 7000 LOOPS NEGRO
122015,CARRETE  2.1   19 MM X 7000 LOOPS PLATA
122016,CARRETE  2.1   19 MM X 7000 LOOPS BRONCE
122017,CARRETE  3.1    8 MM X 60000 LOOPS BLANCO
122018,CARRETE  3.1    8 MM X 60000 LOOPS NEGRO
122019,CARRETE  3.1    8 MM X 60000 LOOPS PLATA
122020,CARRETE  3.1    9 MM X 43000 LOOPS BLANCO
122021,CARRETE  3.1    9 MM X 43000 LOOPS BRONCE
122022,CARRETE  3.1    9 MM X 43000 LOOPS NEGRO
122023,CARRETE  3.1    9 MM X 43000 LOOPS PLATA
122024,CARRETE  3.1   11 MM X 32000 LOOPS BLANCO
122025,CARRETE  3.1   11 MM X 32000 LOOPS NEGRO
122026,CARRETE  3.1   12 MM X 24000 LOOPS BLANCO
122027,CARRETE  3.1   12 MM X 24000 LOOPS NEGRO
122028,CARRETE  3.1   12 MM X 24000 LOOPS PLATA
122029,CARRETE  3.1   14 MM X 19300 LOOPS BLANCO
122030,CARRETE  3.1   14 MM X 19300 LOOPS NEGRO
122031,CARRETE  3.1   14 MM X 19300 LOOPS PLATA
122041,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 BLANCO
122042,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 NEGRO
122043,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 PLATA
122044,TIRA 2.1 X 64 LOOPS  14MM CAJA X 384 BLANCO
122045,TIRA 2.1 X 64 LOOPS  14MM CAJA X 384 NEGRO
122046,TIRA 2.1 X 64 LOOPS  14MM CAJA X 384 PLATA
122047,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 BLANCO
122048,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 BRONCE
122049,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 NEGRO
122050,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 PLATA
122051,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 BLANCO
122052,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 BRONCE
122053,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 NEGRO
122054,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 PLATA
122055,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 BLANCO
122056,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 BRONCE
122057,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 NEGRO
122058,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 PLATA
122059,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 BLANCO
122060,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 NEGRO
122061,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 PLATA
122062,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 BLANCO
122063,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 NEGRO
122064,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 PLATA
122065,TIRA 2.1 X 64 LOOPS  32MM CAJA X 96 BLANCO
122066,TIRA 2.1 X 64 LOOPS  32MM CAJA X 96 NEGRO
122067,TIRA 2.1 X 64 LOOPS  32MM CAJA X 96 PLATA
122068,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 ROJO
122069,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 AZUL
122070,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 DORADO
122071,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 ROJO
122072,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 AZUL
122073,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 DORADO
122074,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 ROJO
122075,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 AZUL
122076,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 DORADO
122077,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 BRONCE
122081,DOBLE O CARTA 2.1    8 MM  CAJA X 100 BLANCO
122082,DOBLE O CARTA 2.1    8 MM  CAJA X 100 NEGRO
122083,DOBLE O CARTA 2.1    9 MM  CAJA X 100 BLANCO
122084,DOBLE O CARTA 2.1    9 MM  CAJA X 100 NEGRO
122085,DOBLE O CARTA 2.1   12 MM  CAJA X 100 BLANCO
122086,DOBLE O CARTA 2.1   12 MM  CAJA X 100 NEGRO
122087,DOBLE O CARTA 2.1   14 MM  CAJA X 100 BLANCO
122088,DOBLE O CARTA 2.1   14 MM  CAJA X 100 NEGRO
122089,DOBLE O CARTA 2.1   16 MM  CAJA X 50 BLANCO
122090,DOBLE O CARTA 2.1   16 MM  CAJA X 50 NEGRO
122091,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BLANCO
122092,DOBLE O CARTA 2.1   19 MM  CAJA X 50 NEGRO
122093,DOBLE O CARTA 2.1   22 MM  CAJA X 50 BLANCO
122094,DOBLE O CARTA 2.1   22 MM  CAJA X 50 NEGRO
122095,DOBLE O CARTA 2.1   25 MM  CAJA X 50 BLANCO
122096,DOBLE O CARTA 2.1   25 MM  CAJA X 50 NEGRO
122097,DOBLE O CARTA 2.1   28 MM  CAJA X 30 BLANCO
122098,DOBLE O CARTA 2.1   28 MM  CAJA X 30 NEGRO
122099,DOBLE O CARTA 2.1   32 MM  CAJA X 30 BLANCO
122100,DOBLE O CARTA 2.1   32 MM  CAJA X 30 NEGRO
122101,DOBLE O CARTA 3.1    8 MM   CAJA X 100 BLANCO
122102,DOBLE O CARTA 3.1    8 MM  CAJA X 100 NEGRO
122103,DOBLE O CARTA 3.1    9 MM  CAJA X 100 BLANCO
122104,DOBLE O CARTA 3.1    9 MM  CAJA X 100 NEGRO
122105,DOBLE O CARTA 3.1   11 MM  CAJA X 100 BLANCO
122106,DOBLE O CARTA 3.1   11 MM  CAJA X 100 NEGRO
122107,DOBLE O CARTA 3.1   12 MM  CAJA X 100 NEGRO
122108,DOBLE O CARTA 3.1   12 MM  CAJA X 100 BLANCO
122109,DOBLE O CARTA 3.1   12 MM  CAJA X 100 PLATA
122110,DOBLE O CARTA 3.1   14 MM  CAJA X 100 BLANCO
122111,DOBLE O CARTA 3.1   14 MM  CAJA X 100 NEGRO
122112,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BRONCE
122118,DOBLE O  2.1 (15 LOOPS)  12 MM  CAJA X 1560 BLANCO
122119,DOBLE O  2.1 (15 LOOPS)  12 MM  CAJA X 1560 NEGRO
122120,DOBLE O  2.1 (21 LOOPS)  16 MM  CAJA X 1080 BLANCO
122121,DOBLE O  2.1 (21 LOOPS)  16 MM  CAJA X 1080 NEGRO
122122,DOBLE O  2.1 (17 LOOPS)  19 MM  CAJA X 1224 BLANCO
122123,DOBLE O  2.1 (17 LOOPS)  19 MM  CAJA X 1224 NEGRO
122124,DOBLE O  2.1 (17 LOOPS)  25 MM  CAJA X 672 BLANCO
122125,DOBLE O  2.1 (17 LOOPS)  25 MM  CAJA X 672 NEGRO
122126,DOBLE O  2.1 (21 LOOPS)  19 MM  CAJA X 792 BLANCO
122127,DOBLE O  2.1 (21 LOOPS)  19 MM  CAJA X 792 NEGRO
