CODIGO,FECHA ORDEN DE COMPRA,FECHA DE LLEGADA,NOMBRE PROVEEDOR,PRODUCTO, CANTIDAD , COSTO UNITARIO  , COSTO TOTAL 
231011,29-03-23,03-02-23,TAMERICA PRODUCTS INC,MAQUINA PERFORADORA SB - V400M SECUREBIND,1008,53818,54248240
112001,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP BRILLANTE 250 MM X 4000 MT 18 MIC,96,192628,18492304
112006,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP BRILLANTE 345 MM X 4000 MT 18 MIC,120,264931,31791722
112008,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP BRILLANTE 495 MM X 4000 MT 18 MIC,81,381206,30877713
112010,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP MATE 250 MM X 4000 MT 18 MIC,54,183464,9907040
112011,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP MATE 300 MM X 4000 MT 18 MIC,100,223665,22366497
112015,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP MATE 345 MM X 4000 MT 18 MIC,115,252201,29003109
112017,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP MATE 495 MM X 4000 MT 18 MIC,257,363626,93451981
112018,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP MATE 595 MM X 4000 MT 18 MIC,30,335044,10051331
112019,07-09-22,04-02-23,"FOSHAN GUIHANG IMP & EXP CO., LTD",ROLLO BOPP MATE 695 MM X 3000 MT 18 MIC,80,379349,30347951
222002,29-03-23,08-02-23,TAMERICA PRODUCTS INC,LAMINADORA TAHSIN TCC 330 ,150,567798,85169709
122017,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1    8 MM X 60000 LOOPS BLANCO,72,168479,12130479
122020,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1    9 MM X 43000 LOOPS BLANCO,70,142705,9989326
122024,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1   11 MM X 32000 LOOPS BLANCO,50,147704,7385209
122026,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1   12 MM X 24000 LOOPS BLANCO,50,122270,6113487
122027,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1   12 MM X 24000 LOOPS NEGRO,40,122270,4890790
122028,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1   12 MM X 24000 LOOPS PLATA,10,138142,1381420
122029,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1   14 MM X 19300 LOOPS BLANCO,20,129017,2580333
122031,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  3.1   14 MM X 19300 LOOPS PLATA,10,146297,1462965
122013,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  2.1   19 MM X 7000 LOOPS BLANCO,30,103194,3095817
122014,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,CARRETE  2.1   19 MM X 7000 LOOPS NEGRO,20,103194,2063878
122041,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 BLANCO,60,208598,12515878
122042,06-12-22,30-03-23,SHW INTERNATIONAL (HK) LIMITED,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 NEGRO,40,208598,8343903
