COD. PRODUCTO,AÑO,MES,MES NUMERO,DESCRIPCION,CATEGORIA,UNIDADES VENDIDAS, VALOR ,INVENTARIO FINAL,
131012,2023,Enero,1,ACETATOS CARTA PAQ X 50,VARIOS,55,675000," 1,178 ",
113001,2023,Enero,1,BOLSILLO CARNET 60 X 90 MM 175 MIC CAJA X 100,LAMINACION,0,0, -   ,
113005,2023,Enero,1,BOLSILLO CARTA 225MM X 288MM 125 MIC CAJA X 100,LAMINACION,1393,58284200," 8,466 ",
113006,2023,Enero,1,BOLSILLO CARTA 225MM X 288MM 175 MIC CAJA X 100,LAMINACION,45,2827260," 3,264 ",
113007,2023,Enero,1,BOLSILLO CARTA 225MM X 288MM 250 MIC CAJA X 50,LAMINACION,591,23700550, 504 ,
113002,2023,Enero,1,BOLSILLO CEDULA 70 X 100 MM 175 MIC CAJA X 100,LAMINACION,315,2229150," 4,833 ",
113008,2023,Enero,1,BOLSILLO OFICIO 225MM X 337MM 125 MIC CAJA X 100,LAMINACION,265,13922250," 2,554 ",
113003,2023,Enero,1,BOLSILLO TARJETA PROPIEDAD 80 X 110 MM 175 MIC CAJA X 100,LAMINACION,197,1727720," 10,624 ",
121009,2023,Enero,1,CARATULA CARTA GRAIN PAQ X 50 AZUL,CARATULA,0,0, -   ,
121010,2023,Enero,1,CARATULA CARTA GRAIN PAQ X 50 NEGRO,CARATULA,0,0, -   ,
121034,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 AMARILLO,CARATULA,13,160800," 1,732 ",
121017,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 AZUL T-1,CARATULA,33,415400, 348 ,
121018,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 AZUL T-2,CARATULA,16,201000," 3,374 ",
121019,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 HUMO,CARATULA,46,576200," 2,709 ",
121020,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 LILA,CARATULA,35,428800," 1,214 ",
121021,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 NARANJA,CARATULA,5,67000," 1,980 ",
121022,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 ROJO,CARATULA,34,415400," 1,961 ",
121023,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 TRANSPARENTE,CARATULA,764,9621200," 9,872 ",
121024,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 VERDE T-1,CARATULA,20,247900," 2,325 ",
121025,2023,Enero,1,CARATULA CARTA STRIPE PAQ X 50 VERDE T-2,CARATULA,19,234500," 5,219 ",
121032,2023,Enero,1,CARATULA LEGAL STRIPE PAQ X 50 TRANSPARENTE,CARATULA,18,1232000, 946 ,
121026,2023,Enero,1,CARATULA OFICIO GRAIN AZUL PAQ X 50,CARATULA,11,182600, 262 ,
121030,2023,Enero,1,CARATULA OFICIO STRIPE PAQ X 50 TRANSPARENTE,CARATULA,241,3441000," 2,032 ",
121031,2023,Enero,1,CARATULA OFICIO STRIPE PAQ X 50 VERDE T-2,CARATULA,12,170500, 321 ,
122009,2023,Enero,1,CARRETE  2.1   16 MM X 10500 LOOPS BLANCO,ANILLO DOBLE O,3,897750, 19 ,
122012,2023,Enero,1,CARRETE  2.1   16 MM X 10500 LOOPS BRONCE,ANILLO DOBLE O,0,0, 21 ,
122010,2023,Enero,1,CARRETE  2.1   16 MM X 10500 LOOPS NEGRO,ANILLO DOBLE O,2,614250, 35 ,
