,,Enero,,,Febrero,,,,Marzo,,,,Abril,,,,Mayo,,,,,Junio,,,,Julio,,,,Agosto,,,,,Septiembre,,,,Octubre,,,,Novimbre,,,,,Diciembre,,
COD PROD,PRODUCTO,12,19.0,26.0,2,9.0,16.0,23.0,1,8.0,15.0,22.0,5,12.0,19.0,26.0,3,10.0,17.0,24.0,31.0,7,14.0,21.0,28.0,5,12.0,19.0,26.0,2,9.0,16.0,23.0,30.0,6,13.0,20.0,27.0,4,11.0,18.0,25.0,1,8.0,15.0,22.0,29.0,6,13.0,20.0
131012,ACETATOS CARTA PAQ X 50,2286,2286.0,2276.0,2036,1995.0,1595.0,1595.0,1196,1196.0,1196.0,1196.0,1174,1109.0,837.0,835.0,835,829.0,797.0,755.0,735.0,735,723.0,701.0,701.0,701,647.0,536.0,521.0,501,489.0,488.0,375.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
113001,BOLSILLO CARNET 60 X 90 MM 175 MIC CAJA X 100,631,629.0,629.0,628,578.0,563.0,543.0,343,343.0,343.0,341.0,340,125.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
113005,BOLSILLO CARTA 225MM X 288MM 125 MIC CAJA X 100,9668,9207.0,8919.0,8785,8526.0,8386.0,8061.0,7792,7618.0,7270.0,7115.0,6782,6431.0,5971.0,5688.0,5256,5062.0,4777.0,10794.0,10668.0,9916,13296.0,13105.0,12505.0,12343,12224.0,11940.0,11508.0,11418,11282.0,11116.0,10684.0,10462.0,10198,10136.0,9948.0,9788.0,9599,9524.0,9148.0,8957.0,8862,8662.0,8613.0,8588.0,8518.0,8017,7853.0,7785.0
113006,BOLSILLO CARTA 225MM X 288MM 175 MIC CAJA X 100,1575,1443.0,1421.0,1387,1361.0,1188.0,1164.0,1084,1073.0,1066.0,1059.0,1054,935.0,933.0,875.0,825,823.0,813.0,813.0,808.0,796,1795.0,1795.0,1775.0,1774,1720.0,1684.0,1672.0,1608,1587.0,1572.0,1540.0,1468.0,1458,1447.0,1376.0,1350.0,1337,1337.0,1337.0,1310.0,1310,1283.0,1283.0,1272.0,1251.0,1240,1233.0,1229.0
113007,BOLSILLO CARTA 225MM X 288MM 250 MIC CAJA X 50,2782,2725.0,2710.0,2684,2674.0,2660.0,2569.0,2491,2450.0,2201.0,2174.0,2039,2003.0,1962.0,1950.0,1930,1928.0,1908.0,1875.0,1857.0,1847,2825.0,2798.0,2765.0,2739,2725.0,2703.0,2673.0,2607,2597.0,2556.0,2532.0,2459.0,2423,2345.0,2302.0,2192.0,2170,2134.0,2134.0,2114.0,2094,2092.0,2062.0,1991.0,1966.0,1858,1777.0,1752.0
113002,BOLSILLO CEDULA 70 X 100 MM 175 MIC CAJA X 100,8853,8854.0,8789.0,8762,8582.0,8526.0,8406.0,7956,7926.0,7921.0,7570.0,7459,7119.0,6864.0,6864.0,6694,6622.0,6577.0,11517.0,11446.0,10966,10666.0,10270.0,9970.0,9920,9487.0,9407.0,9162.0,9140,8680.0,8630.0,8549.0,8349.0,8273,8153.0,8153.0,8092.0,7962,7962.0,7962.0,7944.0,7944,7894.0,7884.0,7854.0,7824.0,7824,7822.0,7520.0
113008,BOLSILLO OFICIO 225MM X 337MM 125 MIC CAJA X 100,2359,2209.0,2106.0,1973,1732.0,1667.0,1487.0,1341,1163.0,1101.0,1080.0,1017,967.0,812.0,798.0,573,511.0,480.0,2449.0,2388.0,2097,4935.0,4760.0,4628.0,4628,4460.0,4262.0,4171.0,4124,4083.0,4049.0,4000.0,3834.0,3658,3518.0,3492.0,3462.0,3321,3260.0,3097.0,3077.0,3036,3006.0,2992.0,2856.0,2822.0,2601,2508.0,2505.0
113011,BOLSILLO OFICIO 225MM X 337MM 175 MIC CAJA X 100,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
113003,BOLSILLO TARJETA PROPIEDAD 80 X 110 MM 175 MIC CAJA X 100,6261,6212.0,6177.0,6176,6006.0,5861.0,5741.0,5290,5239.0,5239.0,5185.0,5185,5150.0,5148.0,5098.0,4928,4884.0,4854.0,6844.0,6732.0,6642,6622.0,6467.0,6467.0,6417,6317.0,6306.0,6081.0,6021,5881.0,5811.0,5680.0,5629.0,5499,5499.0,5249.0,5219.0,5209,5209.0,5179.0,5128.0,5098,5098.0,5098.0,4998.0,4998.0,4997,4877.0,4825.0
121009,CARATULA CARTA GRAIN PAQ X 50 AZUL,3259,3238.0,3238.0,3230,3229.0,3209.0,3209.0,3156,3155.0,3154.0,3154.0,3154,3153.0,3153.0,3153.0,3153,3153.0,3153.0,3153.0,3153.0,3153,3153.0,3153.0,3153.0,3153,3147.0,3147.0,3147.0,3147,3147.0,3147.0,3123.0,3123.0,3123,3123.0,3123.0,3103.0,3103,3103.0,3103.0,3063.0,3063,3063.0,3063.0,3043.0,3043.0,3043,3043.0,3043.0
121034,CARATULA CARTA STRIPE PAQ X 50 AMARILLO,2022,2012.0,2009.0,2005,1965.0,1920.0,1880.0,1809,1795.0,1781.0,1761.0,1759,1737.0,1723.0,1723.0,1721,1721.0,1721.0,1677.0,1677.0,1675,1675.0,1675.0,1675.0,1673,1653.0,1648.0,1597.0,1597,1597.0,1595.0,1585.0,1585.0,1584,1574.0,1574.0,1569.0,1569,1569.0,1569.0,1569.0,1569,1538.0,1518.0,1472.0,1462.0,1412,1412.0,1412.0
